episode_code,season,title,n_aired_episodes,friends_lines_total,friends_words_total,phoebe_lines,phoebe_words,phoebe_line_share_pct,phoebe_word_share_pct,rachel_lines,rachel_words,ross_lines,ross_words,chandler_lines,chandler_words,monica_lines,monica_words,joey_lines,joey_words
0808,8,The One With The Stripper,1,197,2244,22,229,11.17,10.2,43,559,36,379,42,392,20,276,34,409
0809,8,The One With The Rumor,1,220,2537,31,284,14.09,11.19,48,550,35,386,16,182,62,769,28,366
0810,8,The One With Monica’s Boots,1,223,2566,50,618,22.42,24.08,42,435,23,189,33,285,38,533,37,506
0811,8,The One With Ross' Big Step Forward,1,174,2156,29,321,16.67,14.89,45,606,42,622,18,270,18,201,22,136
0812,8,The One Where Joey Dates Rachel,1,219,2874,16,186,7.31,6.47,67,836,15,351,25,303,30,384,66,814
0813,8,The One Where Chandler Takes a Bath,1,269,2745,41,415,15.24,15.12,49,395,46,486,51,466,56,542,26,441
0814,8,The One With The Secret Closet,1,252,2735,43,399,17.06,14.59,40,389,28,339,34,413,53,360,54,835
0815,8,The One With The Birthing Video,1,206,2495,25,358,12.14,14.35,26,346,55,711,29,269,30,336,41,475
0816,8,The One Where Joey Tells Rachel,1,203,2444,23,214,11.33,8.76,33,346,36,412,29,328,31,435,51,709
0817,8,The One With The Tea Leaves,1,188,2245,35,486,18.62,21.65,54,600,12,153,23,287,34,415,30,304
0818,8,The One In Massapequa,1,170,2250,40,483,23.53,21.47,33,361,43,551,12,114,25,510,17,231
0819,8,The One With Joey’s Interview,1,198,2204,15,119,7.58,5.4,25,374,27,211,28,208,8,76,95,1216
0820,8,The One With The Baby Shower,1,244,2853,28,320,11.48,11.22,53,715,48,549,33,203,36,515,46,551
0821,8,The One With The Cooking Class,1,218,2490,25,300,11.47,12.05,53,664,47,494,37,361,34,410,22,261
0822,8,The One Where Rachel Is Late,1,222,2603,23,225,10.36,8.64,55,742,45,444,29,262,32,402,38,528
0823,8,The One Where Rachel Has A Baby,2,395,4024,57,615,14.43,15.28,108,1108,96,897,36,372,42,443,56,589
0901,9,The One Where No One Proposes,1,259,2451,31,326,11.97,13.3,61,424,60,613,27,284,26,227,54,577
0902,9,The One Where Emma Cries,1,245,2663,22,283,8.98,10.63,45,589,61,492,28,480,40,328,49,491
0903,9,903 - The One With The Pediatrician,1,228,2262,38,381,16.67,16.84,29,295,35,348,39,389,38,439,49,410
0904,9,904 - The One With The Sharks,1,163,2141,35,596,21.47,27.84,11,148,37,450,16,183,31,374,33,390
0905,9,905 - The One With Phoebe’s Birthday Dinner,1,226,2846,36,520,15.93,18.27,36,416,35,496,46,611,44,507,29,296
0906,9,Untitled Document,1,233,2504,52,581,22.32,23.2,36,309,53,635,31,369,32,375,29,235
0907,9,The One With Ross's Inappropriate Song,1,160,2309,43,565,26.88,24.47,22,397,18,281,31,469,22,261,24,336
0908,9,908 - The One With Rachel's Other Sister,1,186,2326,22,233,11.83,10.02,52,551,19,195,37,620,29,355,27,372
0909,9,FRIENDS,1,231,2375,30,310,12.99,13.05,48,504,36,342,48,495,35,352,34,372
0910,9,Friends 910 - The One With Christmas In Tulsa,1,256,2394,21,153,8.2,6.39,17,182,21,166,118,1306,67,516,12,71
0911,9,FRIENDS - THE ONE WHERE RACHEL GOES BACK TO WORK,1,180,2440,30,310,16.67,12.7,39,566,21,227,31,449,29,488,30,400
0912,9,Untitled Document,1,184,2243,31,437,16.85,19.48,56,744,23,286,25,215,22,217,27,344
0913,9,913 - The One Where Monica Sings,1,238,2601,27,294,11.34,11.3,56,569,54,669,42,438,30,347,29,284
0914,9,914 The One With the Blind Dates,1,247,2523,41,462,16.6,18.31,44,483,32,337,34,339,41,346,55,556
0915,9,Friends - 915 - The One With The Mugging,1,215,2275,43,510,20.0,22.42,10,65,37,446,30,446,39,225,56,583
0916,9,916 - The One With The Boob Job,1,205,2526,55,632,26.83,25.02,22,289,21,335,38,527,37,436,32,307
0917,9,Friends 917 - The One With The Memorial Service,1,228,2632,33,344,14.47,13.07,25,293,38,592,47,582,52,499,33,322
0918,9,Friends - 918 - The one with the lottery,1,269,2806,34,361,12.64,12.87,41,505,48,541,49,491,54,571,43,337
0919,9,Friends 919 - The one with Rachel's dream,1,228,2782,36,465,15.79,16.71,48,466,34,423,33,328,44,555,33,545
